Datetime,Open,High,Low,Close,Volume,body_mid
2026-02-19 09:00:00+05:30,174.50,174.99,173.90,174.20,22873,174.35
2026-02-19 09:30:00+05:30,174.20,175.58,174.08,175.00,46370,174.60
2026-02-19 10:00:00+05:30,174.87,175.31,174.33,174.71,18098,174.79
2026-02-19 10:30:00+05:30,174.73,174.73,174.00,174.45,22920,174.59
2026-02-19 11:00:00+05:30,174.45,174.50,174.00,174.05,13421,174.25
2026-02-19 11:30:00+05:30,174.05,174.70,173.83,174.36,66434,174.20
2026-02-19 12:00:00+05:30,174.30,174.45,173.70,174.35,30844,174.32
2026-02-19 12:30:00+05:30,174.17,174.35,173.53,173.87,15528,174.02
2026-02-19 13:00:00+05:30,173.87,174.44,173.70,174.12,20058,174.00
2026-02-19 13:30:00+05:30,174.00,174.28,173.89,174.15,14125,174.08
2026-02-19 14:00:00+05:30,174.15,174.25,173.75,173.79,12388,173.97
2026-02-19 14:30:00+05:30,173.90,174.14,173.65,173.70,26012,173.80
2026-02-19 15:00:00+05:30,173.80,174.09,173.70,173.70,104869,173.75
2026-02-20 09:00:00+05:30,173.50,174.49,171.84,171.98,60761,172.74
2026-02-20 09:30:00+05:30,172.01,173.28,171.92,172.35,175432,172.18
2026-02-20 10:00:00+05:30,172.35,172.90,171.84,172.71,31845,172.53
2026-02-20 10:30:00+05:30,172.75,173.26,172.64,172.66,28638,172.70
2026-02-20 11:00:00+05:30,172.65,173.75,172.50,173.19,57963,172.92
2026-02-20 11:30:00+05:30,173.19,173.19,172.62,173.08,8947,173.14
2026-02-20 12:00:00+05:30,173.07,173.52,172.90,173.09,11386,173.08
2026-02-20 12:30:00+05:30,173.06,173.58,172.96,173.13,24317,173.10
2026-02-20 13:00:00+05:30,173.07,173.12,172.37,172.89,58584,172.98
2026-02-20 13:30:00+05:30,172.92,173.11,172.62,172.80,11212,172.86
2026-02-20 14:00:00+05:30,172.81,173.29,172.32,172.80,30020,172.80
2026-02-20 14:30:00+05:30,172.60,173.14,172.60,173.10,22616,172.85
2026-02-20 15:00:00+05:30,173.10,173.10,171.38,172.29,116288,172.70
2026-02-23 09:00:00+05:30,172.79,174.38,172.79,173.95,35346,173.37
2026-02-23 09:30:00+05:30,173.88,174.00,172.73,172.86,32190,173.37
2026-02-23 10:00:00+05:30,172.95,173.93,172.10,173.88,52406,173.42
2026-02-23 10:30:00+05:30,173.75,173.90,172.50,173.10,28482,173.42
2026-02-23 11:00:00+05:30,172.98,172.98,172.50,172.70,3421,172.84
2026-02-23 11:30:00+05:30,172.64,172.69,172.10,172.33,11163,172.48
2026-02-23 12:00:00+05:30,172.25,172.59,172.12,172.24,14304,172.24
2026-02-23 12:30:00+05:30,172.33,172.87,172.16,172.82,38110,172.58
2026-02-23 13:00:00+05:30,172.86,172.87,172.39,172.60,23121,172.73
2026-02-23 13:30:00+05:30,172.80,173.23,171.91,171.93,25496,172.36
2026-02-23 14:00:00+05:30,172.05,172.20,171.60,171.68,23507,171.86
2026-02-23 14:30:00+05:30,171.70,172.25,171.68,171.82,34110,171.76
2026-02-23 15:00:00+05:30,172.05,173.02,171.20,172.33,113315,172.19
2026-02-24 09:00:00+05:30,172.33,172.44,170.55,170.60,41992,171.46
2026-02-24 09:30:00+05:30,170.68,170.95,170.05,170.73,61886,170.70
