Datetime,Open,High,Low,Close,Volume,body_mid
2026-02-23 09:15:00+05:30,1426.00,1432.90,1423.00,1432.20,0,1429.10
2026-02-23 09:20:00+05:30,1432.30,1434.90,1432.10,1433.60,142397,1432.95
2026-02-23 09:25:00+05:30,1432.80,1434.80,1431.40,1433.60,91270,1433.20
2026-02-23 09:30:00+05:30,1433.60,1434.50,1430.10,1433.20,88014,1433.40
2026-02-23 09:35:00+05:30,1433.30,1434.00,1430.60,1430.70,66290,1432.00
2026-02-23 09:40:00+05:30,1431.00,1432.50,1430.70,1432.00,58439,1431.50
2026-02-23 09:45:00+05:30,1432.00,1432.30,1429.40,1429.40,84973,1430.70
2026-02-23 09:50:00+05:30,1429.50,1431.00,1428.40,1428.50,60513,1429.00
2026-02-23 09:55:00+05:30,1428.70,1431.20,1427.90,1428.10,65986,1428.40
2026-02-23 10:00:00+05:30,1428.00,1428.50,1427.50,1428.50,40127,1428.25
2026-02-23 10:05:00+05:30,1428.50,1429.90,1428.00,1428.20,74806,1428.35
2026-02-23 10:10:00+05:30,1428.00,1428.20,1425.10,1426.00,70151,1427.00
2026-02-23 10:15:00+05:30,1426.00,1427.90,1425.60,1427.80,46971,1426.90
2026-02-23 10:20:00+05:30,1427.80,1428.00,1426.50,1427.00,38476,1427.40
2026-02-23 10:25:00+05:30,1427.00,1427.00,1424.60,1425.00,65857,1426.00
2026-02-23 10:30:00+05:30,1425.60,1426.50,1425.10,1425.80,55415,1425.70
2026-02-23 10:35:00+05:30,1425.90,1426.70,1425.10,1425.40,45847,1425.65
2026-02-23 10:40:00+05:30,1425.30,1425.50,1423.20,1423.20,107933,1424.25
2026-02-23 10:45:00+05:30,1423.20,1425.00,1422.30,1424.90,113233,1424.05
2026-02-23 10:50:00+05:30,1424.90,1427.40,1424.50,1426.70,81772,1425.80
2026-02-23 10:55:00+05:30,1426.70,1426.70,1424.50,1424.80,81510,1425.75
2026-02-23 11:00:00+05:30,1424.80,1426.90,1424.60,1426.00,42723,1425.40
2026-02-23 11:05:00+05:30,1426.00,1427.40,1424.90,1427.00,140262,1426.50
2026-02-23 11:10:00+05:30,1427.00,1427.90,1426.10,1427.80,36191,1427.40
2026-02-23 11:15:00+05:30,1427.80,1427.90,1426.00,1426.00,44964,1426.90
2026-02-23 11:20:00+05:30,1426.00,1426.40,1425.20,1425.70,31343,1425.85
2026-02-23 11:25:00+05:30,1425.70,1425.80,1424.10,1424.80,42056,1425.25
2026-02-23 11:30:00+05:30,1424.90,1424.90,1423.10,1423.40,23794,1424.15
2026-02-23 11:35:00+05:30,1423.30,1423.50,1422.30,1423.50,39931,1423.40
2026-02-23 11:40:00+05:30,1423.40,1423.50,1422.50,1422.70,34278,1423.05
2026-02-23 11:45:00+05:30,1422.70,1422.90,1419.70,1420.40,76209,1421.55
2026-02-23 11:50:00+05:30,1420.40,1421.90,1419.20,1421.50,38981,1420.95
2026-02-23 11:55:00+05:30,1421.50,1421.80,1420.50,1420.60,28861,1421.05
2026-02-23 12:00:00+05:30,1420.60,1421.90,1420.10,1421.70,44977,1421.15
2026-02-23 12:05:00+05:30,1421.80,1423.50,1421.30,1422.10,52008,1421.95
2026-02-23 12:10:00+05:30,1422.10,1423.20,1421.30,1423.00,63007,1422.55
2026-02-23 12:15:00+05:30,1422.80,1424.00,1422.50,1422.60,36427,1422.70
2026-02-23 12:20:00+05:30,1422.60,1422.90,1421.10,1421.10,43264,1421.85
2026-02-23 12:25:00+05:30,1421.50,1421.50,1420.30,1420.80,28903,1421.15
2026-02-23 12:30:00+05:30,1420.90,1421.50,1420.00,1421.30,50328,1421.10
2026-02-23 12:35:00+05:30,1421.20,1423.80,1421.20,1423.70,68338,1422.45
2026-02-23 12:40:00+05:30,1423.70,1425.80,1423.70,1425.60,277675,1424.65
2026-02-23 12:45:00+05:30,1425.80,1426.20,1423.40,1423.80,91323,1424.80
2026-02-23 12:50:00+05:30,1423.60,1424.50,1422.10,1423.80,254853,1423.70
2026-02-23 12:55:00+05:30,1423.70,1424.60,1422.50,1423.10,150203,1423.40
2026-02-23 13:00:00+05:30,1423.10,1423.40,1422.30,1423.20,121208,1423.15
2026-02-23 13:05:00+05:30,1423.20,1424.40,1423.00,1423.90,174696,1423.55
2026-02-23 13:10:00+05:30,1423.80,1425.20,1423.80,1424.50,153681,1424.15
2026-02-23 13:15:00+05:30,1424.70,1424.90,1423.70,1424.30,53326,1424.50
2026-02-23 13:20:00+05:30,1424.30,1424.70,1422.90,1423.80,60657,1424.05
2026-02-23 13:25:00+05:30,1423.80,1425.30,1423.80,1424.70,100306,1424.25
2026-02-23 13:30:00+05:30,1424.70,1425.80,1423.10,1423.20,218228,1423.95
2026-02-23 13:35:00+05:30,1423.20,1423.50,1421.20,1421.80,350161,1422.50
2026-02-23 13:40:00+05:30,1421.20,1423.90,1420.30,1423.50,234578,1422.35
2026-02-23 13:45:00+05:30,1423.60,1423.80,1421.00,1421.00,59649,1422.30
2026-02-23 13:50:00+05:30,1421.00,1421.50,1420.80,1420.80,34755,1420.90
2026-02-23 13:55:00+05:30,1420.80,1421.20,1419.60,1419.80,56939,1420.30
2026-02-23 14:00:00+05:30,1419.80,1420.20,1418.60,1419.90,103948,1419.85
2026-02-23 14:05:00+05:30,1419.60,1420.60,1419.50,1419.80,94974,1419.70
2026-02-23 14:10:00+05:30,1419.70,1420.00,1418.50,1419.00,42804,1419.35
2026-02-23 14:15:00+05:30,1418.90,1421.60,1418.50,1421.60,53746,1420.25
2026-02-23 14:20:00+05:30,1421.60,1421.90,1421.20,1421.30,54111,1421.45
2026-02-23 14:25:00+05:30,1421.50,1425.50,1421.00,1425.30,89506,1423.40
2026-02-23 14:30:00+05:30,1425.50,1427.50,1423.30,1425.80,375365,1425.65
2026-02-23 14:35:00+05:30,1425.80,1426.60,1425.20,1425.90,53712,1425.85
2026-02-23 14:40:00+05:30,1425.90,1427.00,1425.50,1426.50,82389,1426.20
2026-02-23 14:45:00+05:30,1426.50,1428.20,1426.10,1427.70,138166,1427.10
2026-02-23 14:50:00+05:30,1428.00,1428.20,1424.10,1424.70,103705,1426.35
2026-02-23 14:55:00+05:30,1424.70,1425.00,1423.00,1423.00,48390,1423.85
2026-02-23 15:00:00+05:30,1423.80,1428.00,1423.50,1427.30,298582,1425.55
2026-02-23 15:05:00+05:30,1427.30,1428.50,1427.30,1428.20,227257,1427.75
2026-02-23 15:10:00+05:30,1428.40,1429.00,1427.90,1428.80,211633,1428.60
2026-02-23 15:15:00+05:30,1428.70,1429.50,1428.30,1429.30,192630,1429.00
2026-02-23 15:20:00+05:30,1429.40,1429.90,1428.20,1429.90,204119,1429.65
2026-02-23 15:25:00+05:30,1429.60,1430.00,1424.50,1428.00,228034,1428.80
2026-02-24 09:15:00+05:30,1427.00,1427.00,1420.80,1423.10,0,1425.05
2026-02-24 09:20:00+05:30,1423.40,1427.30,1422.70,1427.00,119648,1425.20
2026-02-24 09:25:00+05:30,1426.70,1427.00,1423.60,1424.40,58239,1425.55
2026-02-24 09:30:00+05:30,1424.30,1424.30,1421.10,1421.90,67319,1423.10
2026-02-24 09:35:00+05:30,1421.80,1421.80,1419.20,1419.70,75508,1420.75
2026-02-24 09:40:00+05:30,1419.60,1420.20,1417.50,1418.70,86742,1419.15
2026-02-24 09:45:00+05:30,1418.90,1423.90,1418.70,1422.30,66575,1420.60
2026-02-24 09:50:00+05:30,1422.20,1422.30,1420.10,1420.70,38425,1421.45
2026-02-24 09:55:00+05:30,1420.70,1421.00,1420.10,1420.10,23069,1420.40
2026-02-24 10:00:00+05:30,1420.30,1420.90,1419.00,1420.40,40140,1420.35
2026-02-24 10:05:00+05:30,1420.00,1420.80,1419.60,1419.60,38254,1419.80
2026-02-24 10:10:00+05:30,1419.30,1419.30,1416.50,1417.20,75137,1418.25
2026-02-24 10:15:00+05:30,1416.70,1417.50,1415.70,1416.90,75635,1416.80
2026-02-24 10:20:00+05:30,1417.00,1417.80,1415.30,1415.70,62411,1416.35
2026-02-24 10:25:00+05:30,1415.70,1416.20,1415.00,1415.30,62694,1415.50
2026-02-24 10:30:00+05:30,1415.30,1417.40,1415.00,1416.70,75799,1416.00
2026-02-24 10:35:00+05:30,1416.80,1417.30,1416.40,1416.80,29222,1416.80
2026-02-24 10:40:00+05:30,1416.80,1417.00,1416.10,1416.90,39509,1416.85
2026-02-24 10:45:00+05:30,1416.90,1417.70,1416.10,1416.40,62469,1416.65
2026-02-24 10:50:00+05:30,1416.70,1416.90,1415.50,1415.90,50707,1416.30
2026-02-24 10:55:00+05:30,1415.80,1416.10,1415.20,1415.90,43913,1415.85
2026-02-24 11:00:00+05:30,1415.60,1418.90,1415.30,1418.80,65279,1417.20
2026-02-24 11:05:00+05:30,1418.50,1420.90,1418.20,1420.10,80580,1419.30
2026-02-24 11:10:00+05:30,1420.60,1421.70,1420.10,1420.40,40155,1420.50
2026-02-24 11:15:00+05:30,1420.50,1420.70,1420.10,1420.60,26293,1420.55
2026-02-24 11:20:00+05:30,1420.60,1421.00,1419.20,1419.40,127350,1420.00
2026-02-24 11:25:00+05:30,1419.40,1421.50,1419.40,1421.40,78630,1420.40
2026-02-24 11:30:00+05:30,1421.50,1422.40,1419.30,1419.80,66366,1420.65
2026-02-24 11:35:00+05:30,1420.00,1420.50,1419.20,1419.70,35718,1419.85
2026-02-24 11:40:00+05:30,1419.80,1421.40,1419.80,1420.80,107933,1420.30
2026-02-24 11:45:00+05:30,1420.80,1421.10,1420.40,1421.00,19080,1420.90
2026-02-24 11:50:00+05:30,1421.00,1421.80,1420.60,1421.00,100868,1421.00
2026-02-24 11:55:00+05:30,1421.20,1422.30,1420.70,1421.20,111269,1421.20
2026-02-24 12:00:00+05:30,1421.00,1421.50,1419.80,1420.40,64603,1420.70
2026-02-24 12:05:00+05:30,1421.00,1421.60,1420.30,1421.00,40339,1421.00
2026-02-24 12:10:00+05:30,1421.00,1422.40,1420.60,1422.00,99492,1421.50
2026-02-24 12:15:00+05:30,1422.50,1422.90,1421.20,1421.90,243093,1422.20
2026-02-24 12:20:00+05:30,1421.80,1423.40,1421.70,1423.00,244073,1422.40
2026-02-24 12:25:00+05:30,1423.20,1423.90,1422.70,1423.60,53018,1423.40
2026-02-24 12:30:00+05:30,1423.60,1424.90,1423.50,1424.90,68514,1424.25
2026-02-24 12:35:00+05:30,1424.90,1425.80,1422.90,1423.00,140095,1423.95
2026-02-24 12:40:00+05:30,1423.00,1423.30,1422.10,1423.10,71017,1423.05
2026-02-24 12:45:00+05:30,1423.10,1423.80,1420.60,1421.50,107420,1422.30
2026-02-24 12:50:00+05:30,1421.60,1423.50,1421.10,1422.50,106850,1422.05
2026-02-24 12:55:00+05:30,1422.50,1423.00,1422.30,1422.70,31710,1422.60
2026-02-24 13:00:00+05:30,1422.70,1423.50,1421.80,1423.10,55371,1422.90
2026-02-24 13:05:00+05:30,1423.20,1423.80,1423.00,1423.70,52740,1423.45
2026-02-24 13:10:00+05:30,1423.80,1425.00,1423.60,1424.20,218079,1424.00
